Engine;NewAltaThreshold;Tot;OK;KO;PercentOK;WilsonLower95;TotNoAU;OKNoAU;KONoAU;PercentOKNoAU;WilsonLower95NoAU
v25def;37.00;2814;1802;1012;64.04;62.25;2283;1460;823;63.95;61.96
v25def;38.00;2788;1786;1002;64.06;62.26;2263;1448;815;63.99;61.99
v25def;39.00;2763;1770;993;64.06;62.25;2239;1432;807;63.96;61.95
v25def;40.00;2736;1756;980;64.18;62.37;2214;1418;796;64.05;62.03
v25def;41.00;2711;1738;973;64.11;62.28;2190;1401;789;63.97;61.94
v25def;42.00;2690;1728;962;64.24;62.41;2172;1392;780;64.09;62.05
v25def;43.00;2640;1701;939;64.43;62.59;2129;1369;760;64.30;62.24
v25def;44.00;2587;1664;923;64.32;62.46;2079;1333;746;64.12;62.03
v25def;45.00;2542;1637;905;64.40;62.52;2047;1316;731;64.29;62.19
v25def;46.00;2498;1615;883;64.65;62.76;2008;1296;712;64.54;62.42
v25def;47.00;2456;1592;864;64.82;62.91;1975;1277;698;64.66;62.52
v25def;48.00;2395;1561;834;65.18;63.25;1921;1251;670;65.12;62.96
v25def;49.00;2345;1532;813;65.33;63.38;1881;1227;654;65.23;63.05
v25def;50.00;2288;1501;787;65.60;63.63;1836;1202;634;65.47;63.26
v25def;51.00;2231;1469;762;65.84;63.85;1785;1172;613;65.66;63.42
v25def;52.00;2174;1437;737;66.10;64.08;1734;1144;590;65.97;63.71
v25def;53.00;2125;1415;710;66.59;64.55;1693;1125;568;66.45;64.17
v25def;54.00;2057;1379;678;67.04;64.98;1631;1093;538;67.01;64.69
v25def;55.00;1993;1342;651;67.34;65.25;1579;1063;516;67.32;64.97
v25def;56.00;1922;1301;621;67.69;65.57;1518;1027;491;67.65;65.26
v25def;57.00;1864;1258;606;67.49;65.33;1472;993;479;67.46;65.02
v25def;58.00;1806;1224;582;67.77;65.58;1425;964;461;67.65;65.18
v25def;59.00;1752;1190;562;67.92;65.70;1381;937;444;67.85;65.34
v25def;60.00;1686;1147;539;68.03;65.77;1324;900;424;67.98;65.41
v25def;61.00;1619;1112;507;68.68;66.38;1274;876;398;68.76;66.16
v25def;62.00;1551;1065;486;68.67;66.31;1225;839;386;68.49;65.83
