Rule;N;GOAL;NO_GOAL;BTTSRate;CoveragePct;LiftVsBaseline
MinGFL8>=1.6 AND MinGFL7>=1.2;2412;1570;842;65.09;27.91;4.37
MinOverL7>=0.6 AND MinGAL7>=1.0;2403;1564;839;65.09;27.8;4.37
MinBTTSL7>=0.7 AND MinGAL7>=1.0;1438;936;502;65.09;16.64;4.37
MinGFL7>=1.2 AND AvgBTTSL5>=0.6;3376;2197;1179;65.08;39.06;4.36
MinGAL5>=1.4 AND MinBTTSL8>=0.5;2835;1845;990;65.08;32.8;4.36
MinBTTSL7>=0.6 AND AvgGAL7>=1.4;1767;1150;617;65.08;20.44;4.36
AvgGAL8>=1.4 AND MinGFL5>=1.0;4057;2640;1417;65.07;46.94;4.35
AvgBTTSFull>=0.6 AND MinGFL5>=1.0;3659;2381;1278;65.07;42.33;4.35
MinGAL5>=1.4 AND AvgGAFull>=1.6;2914;1896;1018;65.07;33.72;4.35
MinOverL7>=0.6 AND MinBTTSL5>=0.5;1881;1224;657;65.07;21.76;4.35
MinOverL7>=0.6 AND MinBTTSL5>=0.6;1881;1224;657;65.07;21.76;4.35
MinGFL7>=1.2 AND MinOverL8>=0.4;3910;2544;1366;65.06;45.24;4.34
MinGFL5>=1.4 AND AvgBTTSL5>=0.6;2871;1868;1003;65.06;33.22;4.34
AvgGAFull>=1.6 AND MinBTTSL7>=0.5;2662;1732;930;65.06;30.8;4.34
MinGFL8>=1.4 AND MinGFL5>=1.6;2281;1484;797;65.06;26.39;4.34
MinGFL7>=1.6 AND MinGFL5>=1.4;2032;1322;710;65.06;23.51;4.34
MinOverL5>=0.5 AND AvgGAL7>=1.4;3654;2377;1277;65.05;42.28;4.33
MinOverL5>=0.6 AND AvgGAL7>=1.4;3654;2377;1277;65.05;42.28;4.33
MinGAFull>=1.4 AND AvgGAL5>=1.6;2924;1902;1022;65.05;33.83;4.33
MinGFL7>=1.4 AND MinBTTSL8>=0.4;2904;1889;1015;65.05;33.6;4.33
MinGAL8>=1.2 AND MinBTTSL5>=0.5;2787;1813;974;65.05;32.25;4.33
MinGAL8>=1.2 AND MinBTTSL5>=0.6;2787;1813;974;65.05;32.25;4.33
MinBTTSL7>=0.8 AND MinGAL7>=1.0;412;268;144;65.05;4.77;4.33
MinOverL7>=0.5 AND MinGFL5>=1.0;4096;2664;1432;65.04;47.39;4.32
MinOverL7>=0.5 AND AvgGAL8>=1.4;3987;2593;1394;65.04;46.13;4.32
MinGFL7>=1.2 AND MinBTTSL8>=0.5;3395;2208;1187;65.04;39.28;4.32
MinGAL5>=1.4 AND MinOverL8>=0.4;3224;2097;1127;65.04;37.3;4.32
AvgBTTSFull>=0.6 AND AvgBTTSL5>=0.7;2855;1857;998;65.04;33.03;4.32
MinOverL5>=0.5 AND AvgGAL8>=1.4;3643;2369;1274;65.03;42.15;4.31
MinOverL5>=0.6 AND AvgGAL8>=1.4;3643;2369;1274;65.03;42.15;4.31
MinOverL5>=0.5 AND AvgGAL5>=1.6;3211;2088;1123;65.03;37.15;4.31
MinOverL5>=0.6 AND AvgGAL5>=1.6;3211;2088;1123;65.03;37.15;4.31
AvgBTTSL7>=0.7 AND MinBTTSL8>=0.4;2614;1700;914;65.03;30.24;4.31
MinBTTSFull>=0.6 AND AvgBTTSL5>=0.6;2508;1631;877;65.03;29.02;4.31
AvgBTTSL7>=0.7 AND MinBTTSFull>=0.5;2468;1605;863;65.03;28.55;4.31
MinGFL8>=1.6;2445;1590;855;65.03;28.29;4.31
MinGFL8>=1.6 AND MinGFL8>=1.4;2445;1590;855;65.03;28.29;4.31
MinGFL8>=1.6 AND MinGFL8>=1.2;2445;1590;855;65.03;28.29;4.31
MinGFL7>=1.6 AND MinGFL5>=1.6;1870;1216;654;65.03;21.64;4.31
MinGFL5>=1.6 AND MinBTTSL5>=0.5;1693;1101;592;65.03;19.59;4.31
MinGFL5>=1.6 AND MinBTTSL5>=0.6;1693;1101;592;65.03;19.59;4.31
MinGAL8>=1.2 AND MinOverL8>=0.5;3837;2495;1342;65.02;44.39;4.31
AvgBTTSFull>=0.6 AND AvgBTTSL7>=0.6;3794;2467;1327;65.02;43.9;4.3
MinGAFull>=1.4 AND AvgGAL8>=1.4;3333;2167;1166;65.02;38.56;4.3
MinGAL5>=1.4 AND MinOverL8>=0.5;3056;1987;1069;65.02;35.36;4.3
MinGAL8>=1.4 AND MinGAL5>=1.4;2773;1803;970;65.02;32.08;4.3
MinGAFull>=1.4 AND AvgGAL7>=1.4;3315;2155;1160;65.01;38.35;4.29
MinOverL8>=0.6 AND MinBTTSL8>=0.4;3304;2148;1156;65.01;38.23;4.29
AvgGAFull>=1.6 AND AvgBTTSL5>=0.6;3121;2029;1092;65.01;36.11;4.29
MinGAL8>=1.4 AND AvgGAL7>=1.6;2915;1895;1020;65.01;33.73;4.29
AvgBTTSL7>=0.7;2649;1722;927;65.01;30.65;4.29
AvgBTTSL7>=0.7 AND AvgBTTSL7>=0.6;2649;1722;927;65.01;30.65;4.29
AvgBTTSL7>=0.7 AND AvgBTTSL8>=0.6;2649;1722;927;65.01;30.65;4.29
AvgBTTSL7>=0.7 AND AvgBTTSL5>=0.6;2649;1722;927;65.01;30.65;4.29
MinBTTSFull>=0.6 AND MinBTTSL5>=0.5;2289;1488;801;65.01;26.48;4.29
MinBTTSFull>=0.6 AND MinBTTSL5>=0.6;2289;1488;801;65.01;26.48;4.29
AvgBTTSL5>=0.8 AND MinGFL5>=1.0;1532;996;536;65.01;17.73;4.29
MinBTTSL7>=0.7 AND MinOverL8>=0.5;1369;890;479;65.01;15.84;4.29
AvgBTTSL8>=0.6 AND AvgGAL8>=1.4;3703;2407;1296;65.0;42.84;4.28
MinGAL7>=1.2 AND MinBTTSL7>=0.5;2994;1946;1048;65.0;34.64;4.28
MinOverL7>=0.6;2737;1779;958;65.0;31.67;4.28
MinOverL7>=0.6 AND MinOverL8>=0.6;2737;1779;958;65.0;31.67;4.28
MinOverL7>=0.6 AND MinOverL7>=0.5;2737;1779;958;65.0;31.67;4.28
MinOverL7>=0.6 AND MinOverL5>=0.5;2737;1779;958;65.0;31.67;4.28
MinOverL7>=0.6 AND MinOverL5>=0.6;2737;1779;958;65.0;31.67;4.28
MinOverL7>=0.6 AND MinOverL8>=0.5;2737;1779;958;65.0;31.67;4.28
MinOverL7>=0.6 AND MinOverL8>=0.4;2737;1779;958;65.0;31.67;4.28
MinOverL7>=0.6 AND MinOverFull>=0.5;2694;1751;943;65.0;31.17;4.28
AvgBTTSL7>=0.7 AND MinBTTSL8>=0.5;2566;1668;898;65.0;29.69;4.28
DeltaOverL5>=0.3 AND AvgBTTSL5>=0.6;40;26;14;65.0;0.46;4.28
AvgGAL7>=1.4 AND MinGFL5>=1.0;4050;2632;1418;64.99;46.86;4.27
MinGFL5>=1.2 AND MinGAL7>=1.0;3613;2348;1265;64.99;41.8;4.27
MinGAFull>=1.4 AND MinGAL8>=1.2;3265;2122;1143;64.99;37.78;4.27
MinGAFull>=1.4 AND MinGAL7>=1.2;3173;2062;1111;64.99;36.71;4.27
AvgBTTSL5>=0.8 AND MinOverL8>=0.4;1508;980;528;64.99;17.45;4.27
MinOverL8>=0.6 AND MinBTTSL7>=0.6;1491;969;522;64.99;17.25;4.27
AvgBTTSL7>=0.8 AND AvgGAFull>=1.4;597;388;209;64.99;6.91;4.27
AvgGAL8>=1.6 AND AvgBTTSL5>=0.6;3261;2119;1142;64.98;37.73;4.26
MinGAL5>=1.4 AND MinOverFull>=0.5;2953;1919;1034;64.98;34.17;4.27
MinGFL8>=1.4 AND MinGFL5>=1.4;2827;1837;990;64.98;32.71;4.26
MinBTTSL7>=0.7 AND AvgBTTSL5>=0.7;1405;913;492;64.98;16.26;4.26
MinGAL8>=1.4 AND MinGAL7>=1.0;3185;2069;1116;64.96;36.85;4.24
MinGFL7>=1.4 AND MinBTTSL7>=0.6;1287;836;451;64.96;14.89;4.24
AvgBTTSL5>=0.8 AND MinBTTSL7>=0.6;1170;760;410;64.96;13.54;4.24
AvgGAFull>=1.4 AND MinGFL5>=1.0;4043;2626;1417;64.95;46.78;4.23
MinGAFull>=1.4 AND MinGAL7>=1.0;3367;2187;1180;64.95;38.96;4.23
MinGAL8>=1.4;3187;2070;1117;64.95;36.87;4.23
MinGAL8>=1.4 AND MinGAL8>=1.2;3187;2070;1117;64.95;36.87;4.23
MinGAL8>=1.4 AND AvgGAL8>=1.4;3187;2070;1117;64.95;36.87;4.23
MinGFL7>=1.4 AND MinBTTSL5>=0.5;2131;1384;747;64.95;24.66;4.23
MinGFL7>=1.4 AND MinBTTSL5>=0.6;2131;1384;747;64.95;24.66;4.23
AvgBTTSL7>=0.6 AND MinGFL5>=1.2;3115;2023;1092;64.94;36.04;4.22
MinGAFull>=1.4 AND AvgGAFull>=1.6;3083;2002;1081;64.94;35.67;4.22
MinGFL7>=1.2 AND MinBTTSL7>=0.5;2941;1910;1031;64.94;34.03;4.22
MinBTTSL7>=0.7;1503;976;527;64.94;17.39;4.22
AvgBTTSL7>=0.7 AND MinBTTSL7>=0.7;1503;976;527;64.94;17.39;4.22
MinBTTSL7>=0.7 AND AvgBTTSL7>=0.6;1503;976;527;64.94;17.39;4.22
MinBTTSL7>=0.7 AND MinBTTSL8>=0.6;1503;976;527;64.94;17.39;4.22
MinBTTSL7>=0.7 AND AvgBTTSL8>=0.6;1503;976;527;64.94;17.39;4.22
MinBTTSL7>=0.7 AND MinBTTSL7>=0.6;1503;976;527;64.94;17.39;4.22
MinBTTSL7>=0.7 AND MinBTTSL5>=0.5;1503;976;527;64.94;17.39;4.22
MinBTTSL7>=0.7 AND MinBTTSL5>=0.6;1503;976;527;64.94;17.39;4.22
MinBTTSL7>=0.7 AND MinBTTSL8>=0.5;1503;976;527;64.94;17.39;4.22
MinBTTSL7>=0.7 AND MinBTTSL7>=0.5;1503;976;527;64.94;17.39;4.22
MinBTTSL7>=0.7 AND AvgBTTSL5>=0.6;1503;976;527;64.94;17.39;4.22
MinBTTSL7>=0.7 AND MinBTTSL8>=0.4;1503;976;527;64.94;17.39;4.22
MinGAL8>=1.2 AND MinBTTSL8>=0.5;3584;2327;1257;64.93;41.47;4.21
MinGFL8>=1.4 AND MinGFFull>=1.2;3194;2074;1120;64.93;36.95;4.21
MinGAL8>=1.4 AND MinGAL7>=1.4;3025;1964;1061;64.93;35.0;4.21
MinGFFull>=1.4 AND MinOverFull>=0.5;2948;1914;1034;64.93;34.11;4.21
AvgBTTSL5>=0.7 AND MinOverL5>=0.5;2609;1694;915;64.93;30.19;4.21
AvgBTTSL5>=0.7 AND MinOverL5>=0.6;2609;1694;915;64.93;30.19;4.21
MinBTTSL7>=0.7 AND MinOverL8>=0.4;1400;909;491;64.93;16.2;4.21
AvgBTTSL8>=0.6 AND MinOverL8>=0.5;3828;2485;1343;64.92;44.29;4.2
AvgGAL7>=1.6 AND AvgBTTSL5>=0.6;3253;2112;1141;64.92;37.64;4.21
MinGFFull>=1.4 AND MinGFL5>=1.2;3178;2063;1115;64.92;36.77;4.2
AvgGAL8>=1.6 AND MinBTTSFull>=0.5;3107;2017;1090;64.92;35.95;4.2
MinGAL7>=1.4 AND AvgGAFull>=1.6;2965;1925;1040;64.92;34.31;4.2
MinOverL5>=0.5 AND AvgGAFull>=1.6;2868;1862;1006;64.92;33.18;4.2
MinOverL5>=0.6 AND AvgGAFull>=1.6;2868;1862;1006;64.92;33.18;4.2
MinBTTSL8>=0.6 AND MinGFL8>=1.2;2326;1510;816;64.92;26.91;4.2
MinGFL5>=1.4 AND MinBTTSL5>=0.5;2291;1487;804;64.91;26.51;4.19
MinGFL5>=1.4 AND MinBTTSL5>=0.6;2291;1487;804;64.91;26.51;4.19
MinBTTSL7>=0.6 AND MinGFFull>=1.2;1559;1012;547;64.91;18.04;4.19
MinBTTSL7>=0.8 AND AvgGAL8>=1.4;399;259;140;64.91;4.62;4.19
MinGFL5>=1.4 AND MinGFFull>=1.2;3336;2165;1171;64.9;38.6;4.18
MinGAFull>=1.4 AND MinGAL5>=1.2;3097;2010;1087;64.9;35.83;4.18
MinGFL8>=1.4 AND MinGFL5>=1.2;3094;2008;1086;64.9;35.8;4.18
MinBTTSL7>=0.6 AND AvgGAFull>=1.4;1721;1117;604;64.9;19.91;4.18
MinBTTSL7>=0.7 AND AvgGAL8>=1.4;1319;856;463;64.9;15.26;4.18
MinOverL7>=0.5 AND AvgGAFull>=1.4;3953;2565;1388;64.89;45.74;4.17
MinGFL7>=1.2 AND MinOverFull>=0.5;3498;2270;1228;64.89;40.47;4.17
AvgGAL7>=1.6 AND MinBTTSFull>=0.5;3073;1994;1079;64.89;35.55;4.17
MinGAL5>=1.4 AND MinBTTSL8>=0.4;3033;1968;1065;64.89;35.09;4.17
AvgBTTSL7>=0.7 AND MinBTTSL7>=0.5;2521;1636;885;64.89;29.17;4.18
MinBTTSL5>=0.7 AND AvgBTTSL8>=0.6;1091;708;383;64.89;12.62;4.17
MinBTTSL5>=0.8 AND AvgBTTSL8>=0.6;1091;708;383;64.89;12.62;4.17
MinGAL8>=1.2 AND MinOverFull>=0.5;3707;2405;1302;64.88;42.89;4.16
AvgBTTSL8>=0.6 AND MinOverFull>=0.5;3667;2379;1288;64.88;42.43;4.16
MinGAL8>=1.4 AND AvgGAL7>=1.4;3169;2056;1113;64.88;36.67;4.16
MinBTTSFull>=0.6 AND AvgBTTSL8>=0.6;2537;1646;891;64.88;29.35;4.16
MinGFL7>=1.6;2144;1391;753;64.88;24.81;4.16
MinGFL7>=1.6 AND MinGFL8>=1.4;2144;1391;753;64.88;24.81;4.16
MinGFL7>=1.6 AND MinGFL7>=1.4;2144;1391;753;64.88;24.81;4.16
MinGFL7>=1.6 AND MinGFL7>=1.2;2144;1391;753;64.88;24.81;4.16
MinGFL7>=1.6 AND MinGFL8>=1.2;2144;1391;753;64.88;24.81;4.16
MinGFL7>=1.6 AND MinGFL5>=1.2;2110;1369;741;64.88;24.41;4.16
AvgBTTSL7>=0.6 AND MinOverL8>=0.4;3874;2513;1361;64.87;44.82;4.15
MinGFL7>=1.6 AND MinGFL5>=1.0;2135;1385;750;64.87;24.7;4.15
MinGFFull>=1.2 AND MinOverL8>=0.5;3890;2523;1367;64.86;45.01;4.14
MinOverL8>=0.6;3774;2448;1326;64.86;43.67;4.15
MinOverL8>=0.6 AND MinOverL7>=0.5;3774;2448;1326;64.86;43.67;4.15
MinOverL8>=0.6 AND MinOverL8>=0.5;3774;2448;1326;64.86;43.67;4.15
MinOverL8>=0.6 AND MinOverL8>=0.4;3774;2448;1326;64.86;43.67;4.15
MinOverL8>=0.6 AND MinOverFull>=0.5;3660;2374;1286;64.86;42.35;4.14
MinOverL8>=0.6 AND MinOverL5>=0.5;3443;2233;1210;64.86;39.84;4.14
MinOverL8>=0.6 AND MinOverL5>=0.6;3443;2233;1210;64.86;39.84;4.14
AvgGAL5>=1.6 AND MinBTTSFull>=0.5;3207;2080;1127;64.86;37.11;4.14
MinBTTSL8>=0.6 AND MinOverFull>=0.5;2604;1689;915;64.86;30.13;4.14
MinGFL8>=1.4 AND MinBTTSL5>=0.5;2006;1301;705;64.86;23.21;4.14
MinGFL8>=1.4 AND MinBTTSL5>=0.6;2006;1301;705;64.86;23.21;4.14
AvgBTTSL5>=0.8 AND MinBTTSFull>=0.5;1531;993;538;64.86;17.71;4.14
AvgBTTSL5>=0.8 AND MinBTTSL8>=0.6;1366;886;480;64.86;15.8;4.14
AvgGAL7>=1.6 AND MinBTTSL7>=0.5;2788;1808;980;64.85;32.26;4.13
MinGFL7>=1.2 AND MinBTTSL5>=0.5;2643;1714;929;64.85;30.58;4.13
MinGFL7>=1.2 AND MinBTTSL5>=0.6;2643;1714;929;64.85;30.58;4.13
MinOverL7>=0.6 AND MinBTTSL8>=0.4;2447;1587;860;64.85;28.31;4.14
MinBTTSL5>=0.7 AND AvgBTTSL7>=0.6;1098;712;386;64.85;12.7;4.13
MinBTTSL5>=0.8 AND AvgBTTSL7>=0.6;1098;712;386;64.85;12.7;4.13
MinOverL7>=0.5 AND AvgBTTSL5>=0.6;3862;2504;1358;64.84;44.68;4.12
MinGFL7>=1.4 AND MinGFFull>=1.2;3365;2182;1183;64.84;38.93;4.12
MinGAFull>=1.2 AND MinBTTSL8>=0.4;3892;2523;1369;64.83;45.03;4.11
AvgGAL7>=1.6 AND MinOverL8>=0.4;3719;2411;1308;64.83;43.03;4.11
MinGAL8>=1.4 AND MinGAL7>=1.2;3139;2035;1104;64.83;36.32;4.11
AvgGAFull>=1.6 AND MinBTTSFull>=0.5;3057;1982;1075;64.83;35.37;4.12
MinBTTSL5>=0.7 AND MinOverL8>=0.4;1035;671;364;64.83;11.98;4.11
MinBTTSL5>=0.8 AND MinOverL8>=0.4;1035;671;364;64.83;11.98;4.11
MinGFL5>=1.6 AND MinBTTSL7>=0.6;981;636;345;64.83;11.35;4.11
MinGFL7>=1.2 AND MinBTTSL8>=0.4;3667;2377;1290;64.82;42.43;4.1
AvgGAL8>=1.6 AND MinBTTSL7>=0.5;2794;1811;983;64.82;32.33;4.1
AvgBTTSL7>=0.7 AND AvgBTTSL5>=0.7;2425;1572;853;64.82;28.06;4.11
MinBTTSL5>=0.7;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.8;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.7 AND MinBTTSL5>=0.8;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.7 AND AvgBTTSL5>=0.8;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.7 AND AvgBTTSL5>=0.7;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.7 AND MinBTTSL5>=0.5;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.7 AND MinBTTSL5>=0.6;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.7 AND MinBTTSL8>=0.5;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.7 AND MinBTTSL7>=0.5;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.7 AND AvgBTTSL5>=0.6;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.7 AND MinBTTSL8>=0.4;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.8 AND AvgBTTSL5>=0.8;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.8 AND AvgBTTSL5>=0.7;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.8 AND MinBTTSL5>=0.5;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.8 AND MinBTTSL5>=0.6;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.8 AND MinBTTSL8>=0.5;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.8 AND MinBTTSL7>=0.5;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.8 AND AvgBTTSL5>=0.6;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.8 AND MinBTTSL8>=0.4;1103;715;388;64.82;12.76;4.1
MinGAL5>=1.4 AND AvgGAL8>=1.6;3075;1993;1082;64.81;35.58;4.09
AvgGAL5>=1.6 AND MinOverL8>=0.4;3886;2518;1368;64.8;44.96;4.08
MinGFL8>=1.2 AND MinOverL8>=0.5;3840;2488;1352;64.79;44.43;4.07
MinOverL7>=0.5 AND MinBTTSFull>=0.5;3689;2390;1299;64.79;42.68;4.07
AvgGAL5>=1.6 AND MinBTTSL7>=0.5;2914;1888;1026;64.79;33.72;4.07
MinGAL7>=1.2 AND AvgBTTSL5>=0.6;3436;2226;1210;64.78;39.75;4.06
MinGAL5>=1.4 AND AvgGAFull>=1.4;3427;2220;1207;64.78;39.65;4.06
AvgGAFull>=1.6 AND MinBTTSL8>=0.5;3069;1988;1081;64.78;35.51;4.06
MinGAFull>=1.2 AND MinOverL8>=0.4;4107;2660;1447;64.77;47.52;4.05
AvgGAL7>=1.6 AND MinOverL8>=0.5;3520;2280;1240;64.77;40.73;4.05
MinGFL5>=1.4 AND MinGFL7>=1.2;3426;2219;1207;64.77;39.64;4.05
AvgBTTSFull>=0.6 AND AvgBTTSL5>=0.6;3970;2571;1399;64.76;45.93;4.04
MinOverL5>=0.5 AND AvgGAFull>=1.4;3607;2336;1271;64.76;41.73;4.04
MinOverL5>=0.6 AND AvgGAFull>=1.4;3607;2336;1271;64.76;41.73;4.04
MinGFFull>=1.4 AND MinGFL7>=1.2;3232;2093;1139;64.76;37.39;4.04
MinGAL8>=1.4 AND MinGAL5>=1.2;3019;1955;1064;64.76;34.93;4.04
MinGAL7>=1.2 AND MinBTTSFull>=0.5;3265;2114;1151;64.75;37.78;4.03
AvgBTTSL5>=0.7 AND AvgGAFull>=1.4;2709;1754;955;64.75;31.34;4.03
AvgBTTSL5>=0.8 AND MinBTTSL8>=0.4;1600;1036;564;64.75;18.51;4.03
MinBTTSL5>=0.7 AND MinGAL7>=1.0;1044;676;368;64.75;12.08;4.03
MinBTTSL5>=0.8 AND MinGAL7>=1.0;1044;676;368;64.75;12.08;4.03
AvgBTTSL8>=0.6 AND MinGAL7>=1.0;4005;2593;1412;64.74;46.34;4.02
MinGFL5>=1.2 AND MinOverL8>=0.5;3902;2526;1376;64.74;45.15;4.02
MinBTTSL8>=0.6 AND MinOverL8>=0.5;2720;1761;959;64.74;31.47;4.02
AvgBTTSL5>=0.8 AND MinBTTSL8>=0.5;1588;1028;560;64.74;18.37;4.02
AvgBTTSL5>=0.8 AND MinBTTSL7>=0.5;1554;1006;548;64.74;17.98;4.02
MinGFL8>=1.4 AND MinGFL7>=1.2;3212;2079;1133;64.73;37.16;4.01
AvgGAL7>=1.6 AND MinBTTSL8>=0.5;3181;2059;1122;64.73;36.8;4.01
MinBTTSFull>=0.6;2696;1745;951;64.73;31.19;4.01
MinBTTSFull>=0.6 AND AvgBTTSFull>=0.6;2696;1745;951;64.73;31.19;4.01
MinBTTSFull>=0.6 AND MinBTTSFull>=0.5;2696;1745;951;64.73;31.19;4.01
MinGFL5>=1.6 AND MinGFL8>=1.2;2580;1670;910;64.73;29.85;4.01
AvgBTTSL8>=0.8 AND MinBTTSL5>=0.7;584;378;206;64.73;6.76;4.01
AvgBTTSL8>=0.8 AND MinBTTSL5>=0.8;584;378;206;64.73;6.76;4.01
MinGFFull>=1.2 AND MinBTTSL8>=0.5;3639;2355;1284;64.72;42.1;4.0
MinGFFull>=1.2 AND AvgBTTSL5>=0.6;3588;2322;1266;64.72;41.51;4.0
MinGFFull>=1.4 AND MinGFL7>=1.4;3002;1943;1059;64.72;34.73;4.0
MinBTTSL8>=0.6 AND MinGFL5>=1.2;2330;1508;822;64.72;26.96;4.0
MinBTTSL7>=0.6 AND AvgGAL8>=1.4;1743;1128;615;64.72;20.17;4.0
MinGAFull>=1.2 AND MinOverFull>=0.5;3871;2505;1366;64.71;44.79;3.99
MinGFL8>=1.4 AND MinGFL7>=1.4;3103;2008;1095;64.71;35.9;3.99
MinBTTSFull>=0.6 AND MinBTTSL8>=0.5;2661;1722;939;64.71;30.79;3.99
MinBTTSFull>=0.6 AND MinBTTSL8>=0.4;2661;1722;939;64.71;30.79;3.99
MinBTTSL7>=0.6 AND MinGFL5>=1.2;1615;1045;570;64.71;18.69;3.99
AvgGAL5>=1.6 AND MinOverL8>=0.5;3674;2377;1297;64.7;42.51;3.98
MinGFL8>=1.4 AND MinGFFull>=1.4;2969;1921;1048;64.7;34.35;3.98
AvgBTTSL5>=0.7 AND MinOverL8>=0.5;2898;1875;1023;64.7;33.53;3.98
AvgBTTSL5>=0.8 AND AvgBTTSL7>=0.6;1609;1041;568;64.7;18.62;3.98
MinGFFull>=1.2 AND MinOverL8>=0.4;4132;2673;1459;64.69;47.81;3.97
MinGAL8>=1.2 AND MinOverL8>=0.4;4081;2640;1441;64.69;47.22;3.97
AvgBTTSFull>=0.6 AND AvgBTTSL8>=0.6;3996;2585;1411;64.69;46.23;3.97
AvgBTTSL7>=0.6 AND MinGAL7>=1.0;3857;2495;1362;64.69;44.63;3.97
MinOverL5>=0.5 AND MinGFL5>=1.0;3849;2490;1359;64.69;44.53;3.97
MinOverL5>=0.6 AND MinGFL5>=1.0;3849;2490;1359;64.69;44.53;3.97
MinOverL5>=0.5 AND MinBTTSL8>=0.5;3551;2297;1254;64.69;41.09;3.97
MinOverL5>=0.6 AND MinBTTSL8>=0.5;3551;2297;1254;64.69;41.09;3.97
MinGAL5>=1.4 AND AvgGAL5>=1.6;3381;2187;1194;64.69;39.12;3.97
MinBTTSFull>=0.6 AND MinBTTSL7>=0.5;2484;1607;877;64.69;28.74;3.97
MinGFFull>=1.4 AND MinGFL5>=1.0;3378;2185;1193;64.68;39.08;3.96
MinGFL8>=1.4 AND MinGFL5>=1.0;3202;2071;1131;64.68;37.05;3.96
MinGFL5>=1.6 AND MinGFL7>=1.2;2599;1681;918;64.68;30.07;3.96
MinGAL7>=1.4 AND AvgGAL8>=1.6;3133;2026;1107;64.67;36.25;3.95
MinBTTSL8>=0.6 AND MinGAL7>=1.0;2811;1818;993;64.67;32.52;3.95
MinGAL7>=1.2 AND MinOverFull>=0.5;3554;2298;1256;64.66;41.12;3.94
MinGAL7>=1.4 AND AvgGAFull>=1.4;3390;2192;1198;64.66;39.22;3.94
MinGFL5>=1.6 AND MinGFL7>=1.4;2439;1577;862;64.66;28.22;3.94
MinBTTSL7>=0.6 AND MinOverL5>=0.5;1613;1043;570;64.66;18.66;3.94
MinBTTSL7>=0.6 AND MinOverL5>=0.6;1613;1043;570;64.66;18.66;3.94
AvgGAFull>=1.6 AND MinBTTSL5>=0.5;2416;1562;854;64.65;27.95;3.93
AvgGAFull>=1.6 AND MinBTTSL5>=0.6;2416;1562;854;64.65;27.95;3.93
AvgBTTSFull>=0.6 AND MinBTTSL7>=0.6;1946;1258;688;64.65;22.52;3.93
MinBTTSFull>=0.6 AND MinBTTSL7>=0.6;1723;1114;609;64.65;19.94;3.94
AvgBTTSL5>=0.8 AND AvgBTTSL8>=0.6;1601;1035;566;64.65;18.52;3.93
MinGAL5>=1.2 AND MinBTTSFull>=0.5;3484;2252;1232;64.64;40.31;3.92
MinGAFull>=1.4;3433;2219;1214;64.64;39.72;3.92
MinGAFull>=1.4 AND MinGAFull>=1.2;3433;2219;1214;64.64;39.72;3.92
MinGAFull>=1.4 AND AvgGAFull>=1.4;3433;2219;1214;64.64;39.72;3.92
MinGAL7>=1.2 AND MinBTTSL5>=0.5;2692;1740;952;64.64;31.15;3.92
MinGAL7>=1.2 AND MinBTTSL5>=0.6;2692;1740;952;64.64;31.15;3.92
MinGFL8>=1.2 AND MinOverL8>=0.4;4082;2638;1444;64.63;47.23;3.91
MinGAL7>=1.2 AND MinOverL8>=0.5;3667;2370;1297;64.63;42.43;3.91
AvgBTTSL8>=0.6 AND MinGFL5>=1.2;3232;2089;1143;64.63;37.39;3.92
MinBTTSL7>=0.8 AND AvgGAFull>=1.4;393;254;139;64.63;4.55;3.91
MinBTTSL7>=0.8 AND MinGFL7>=1.6;246;159;87;64.63;2.85;3.91
MinGFL8>=1.2 AND AvgBTTSL5>=0.6;3527;2279;1248;64.62;40.81;3.9
MinGAL5>=1.2 AND MinBTTSL7>=0.5;3180;2055;1125;64.62;36.79;3.9
AvgGAL7>=1.6 AND MinBTTSL5>=0.5;2530;1635;895;64.62;29.27;3.9
AvgGAL7>=1.6 AND MinBTTSL5>=0.6;2530;1635;895;64.62;29.27;3.9
AvgBTTSL8>=0.6 AND MinOverL8>=0.4;4066;2627;1439;64.61;47.04;3.89
MinGFL5>=1.4 AND MinGFL7>=1.4;3040;1964;1076;64.61;35.17;3.89
AvgBTTSFull>=0.6 AND MinBTTSL8>=0.6;2769;1789;980;64.61;32.04;3.89
AvgBTTSL5>=0.8;1619;1046;573;64.61;18.73;3.89
